,Year,Team,Total_Athletes,total_medal,Country_host,GDP,NOC,Population
127,1968,Venezuela,1,1,Meixo,10356422222.0,VEN,10881995.0
128,1972,Argentina,1,1,Germany,33293199095.0,ARG,24782949.0
129,1972,Australia,14,20,Germany,45183111211.0,AUS,13177000.0
130,1972,Austria,3,3,Germany,17858485957.0,AUT,7544201.0
131,1972,Belgium,2,2,Germany,29981290025.0,BEL,9711115.0
132,1972,Brazil,2,2,Germany,49204456700.0,BRA,100143598.0
133,1972,Bulgaria,22,22,Germany,,BGR,8576200.0
134,1972,Canada,10,11,Germany,99271961478.0,CAN,21993631.0
135,1972,Colombia,3,3,Germany,7820380971.0,COL,23146803.0
136,1972,Cuba,21,22,Germany,6914658400.0,CUB,9025300.0
137,1972,Czech Republic,28,29,Germany,,CZE,9867632.0
138,1972,Denmark,1,1,Germany,,DNK,4991596.0
139,1972,Ethiopia,2,2,Germany,660488265788.3334,ETH,30132580.0
140,1972,Finland,9,10,Germany,12536710287.0,FIN,4639657.0
141,1972,France,21,22,Germany,166564000000.0,FRA,52959228.0
142,1972,Germany,223,253,Germany,,DEU,78688452.0
143,1972,Ghana,1,1,Germany,2417108578.0,GHA,9083573.0
144,1972,Greece,2,2,Germany,,GRC,8888628.0
145,1972,Hungary,74,81,Germany,442832226562.5,HUN,10398489.0
146,1972,India,14,14,Germany,66452561868.0,IND,579411513.0
147,1972,Iran,3,3,Germany,,IRN,30074298.0
148,1972,Italy,21,25,Germany,124261000000.0,ITA,54381345.0
149,1972,Jamaica,1,1,Germany,1539865514.0,JAM,1934828.0
150,1972,Japan,40,56,Germany,238915000000.0,JPN,107188000.0
151,1972,Kenya,10,12,Germany,1778391289.0,KEN,12083188.0
152,1972,Lebanon,1,1,Germany,,LBN,2416735.0
153,1972,Mexico,1,1,Germany,39200880000.0,MEX,55478151.0
154,1972,Mongolia,1,1,Germany,,MNG,1356670.0
155,1972,Netherlands,5,6,Germany,,NLD,13328593.0
156,1972,New Zealand,14,14,Germany,7912290825.0,NZL,2903900.0
157,1972,Niger,1,1,Germany,,NER,4768078.0
158,1972,Nigeria,1,1,Germany,,NGA,58662603.0
159,1972,North Korea,15,15,Germany,7424656183.5,PRK,15207771.0
160,1972,Norway,8,8,Germany,14583114840.0,NOR,3933004.0
161,1972,Pakistan,15,15,Germany,10602058190.0,PAK,61338261.0
162,1972,Poland,45,46,Germany,11041529462.5,POL,33055650.0
